,age,sex,cp,trestbps,chol,fbs,restecg,thalach,exang,oldpeak,slope,ca,thal,num
age,1.0,-0.098,0.104,0.285,0.209,0.119,0.149,-0.394,0.092,0.204,0.162,0.365,0.128,0.223
sex,-0.098,1.0,0.01,-0.064,-0.2,0.048,0.022,-0.049,0.146,0.102,0.038,0.086,0.378,0.224
cp,0.104,0.01,1.0,-0.036,0.072,-0.04,0.068,-0.334,0.384,0.202,0.152,0.233,0.254,0.407
trestbps,0.285,-0.064,-0.036,1.0,0.13,0.175,0.147,-0.045,0.065,0.189,0.117,0.098,0.134,0.158
chol,0.209,-0.2,0.072,0.13,1.0,0.01,0.171,-0.003,0.061,0.047,-0.004,0.124,0.025,0.071
fbs,0.119,0.048,-0.04,0.175,0.01,1.0,0.07,-0.008,0.026,0.006,0.06,0.141,0.054,0.059
restecg,0.149,0.022,0.068,0.147,0.171,0.07,1.0,-0.083,0.085,0.114,0.134,0.132,0.024,0.184
thalach,-0.394,-0.049,-0.334,-0.045,-0.003,-0.008,-0.083,1.0,-0.378,-0.343,-0.386,-0.266,-0.263,-0.415
exang,0.092,0.146,0.384,0.065,0.061,0.026,0.085,-0.378,1.0,0.288,0.258,0.146,0.316,0.397
oldpeak,0.204,0.102,0.202,0.189,0.047,0.006,0.114,-0.343,0.288,1.0,0.578,0.301,0.341,0.504
slope,0.162,0.038,0.152,0.117,-0.004,0.06,0.134,-0.386,0.258,0.578,1.0,0.111,0.284,0.378
ca,0.365,0.086,0.233,0.098,0.124,0.141,0.132,-0.266,0.146,0.301,0.111,1.0,0.258,0.521
thal,0.128,0.378,0.254,0.134,0.025,0.054,0.024,-0.263,0.316,0.341,0.284,0.258,1.0,0.498
num,0.223,0.224,0.407,0.158,0.071,0.059,0.184,-0.415,0.397,0.504,0.378,0.521,0.498,1.0
